(unity when we) Limb_darkening.txt 1
(of all the) Limb_darkening.txt 1
(by using the) Limb_darkening.txt 1
(cos where i) Limb_darkening.txt 1
(darkening is well) Limb_darkening.txt 1
(look near the) Limb_darkening.txt 1
(long as the) Limb_darkening.txt 1
(cumbersome however for) Limb_darkening.txt 1
(view of the) Limb_darkening.txt 1
(related to the) Limb_darkening.txt 1
(defines the visible) Limb_darkening.txt 1
(the center the) Limb_darkening.txt 1
(s on the) Limb_darkening.txt 1
(atmosphere is usually) Limb_darkening.txt 1
(conveniently approximated as) Limb_darkening.txt 1
(this says that) Limb_darkening.txt 1
(a distance for) Limb_darkening.txt 1
(the development of) Limb_darkening.txt 1
(a star does) Limb_darkening.txt 1
(n 2 for) Limb_darkening.txt 1
(where the optical) Limb_darkening.txt 1
(we move our) Limb_darkening.txt 1
(a fraction of) Limb_darkening.txt 1
(should start to) Limb_darkening.txt 1
(lambertian radiator no) Limb_darkening.txt 1
(angle of incidence) Limb_darkening.txt 1
(gas from which) Limb_darkening.txt 1
(increasing distance from) Limb_darkening.txt 1
(sun the existence) Limb_darkening.txt 1
(star becomes opaque) Limb_darkening.txt 1
(and faculae but) Limb_darkening.txt 1
(mean intensity to) Limb_darkening.txt 1
(that point where) Limb_darkening.txt 1
(of temperature for) Limb_darkening.txt 1
(the atmosphere of) Limb_darkening.txt 1
(usually decreasing for) Limb_darkening.txt 1
(radiation reaching us) Limb_darkening.txt 2
(height and for) Limb_darkening.txt 1
(towards the edge) Limb_darkening.txt 1
(one optical depth) Limb_darkening.txt 1
(a filtered image) Limb_darkening.txt 1
(element and the) Limb_darkening.txt 1
(unity in a) Limb_darkening.txt 1
(functions of by) Limb_darkening.txt 1
(for certain spectral) Limb_darkening.txt 1
(classical analysis of) Limb_darkening.txt 1
(derivative of cos) Limb_darkening.txt 1
(of the stellar) Limb_darkening.txt 1
(stellar atmosphere the) Limb_darkening.txt 1
(the figure shown) Limb_darkening.txt 1
(that must sum) Limb_darkening.txt 1
(symmetric further complication) Limb_darkening.txt 1
(the star for) Limb_darkening.txt 1
(of precision this) Limb_darkening.txt 1
(intensity will be) Limb_darkening.txt 1
(is deeper in) Limb_darkening.txt 1
(the edge or) Limb_darkening.txt 3
(the radiation comes) Limb_darkening.txt 1
(as a polynomial) Limb_darkening.txt 1
(sum of all) Limb_darkening.txt 1
(angle from a) Limb_darkening.txt 1
(in the figure) Limb_darkening.txt 1
(absorbed l is) Limb_darkening.txt 1
(now has n) Limb_darkening.txt 1
(point of view) Limb_darkening.txt 1
(above the temperature-minimum) Limb_darkening.txt 1
(absorbing gas from) Limb_darkening.txt 1
(cos is infinite) Limb_darkening.txt 1
(of limb brightening) Limb_darkening.txt 1
(the edge the) Limb_darkening.txt 1
(optically thin i.e) Limb_darkening.txt 1
(star radius at) Limb_darkening.txt 1
(at the edge) Limb_darkening.txt 2
(centre references edit) Limb_darkening.txt 1
(in the direction) Limb_darkening.txt 1
(space calculation of) Limb_darkening.txt 1
(generally everywhere instead) Limb_darkening.txt 1
(well expressed by) Limb_darkening.txt 1
(of a very) Limb_darkening.txt 1
(here as the) Limb_darkening.txt 1
(coefficients that must) Limb_darkening.txt 1
(observer s is) Limb_darkening.txt 1
(seen at p) Limb_darkening.txt 1
(towards the limb) Limb_darkening.txt 1
(depth and must) Limb_darkening.txt 1
(for example for) Limb_darkening.txt 1
(with such gradients) Limb_darkening.txt 1
(greater than when) Limb_darkening.txt 1
(well above the) Limb_darkening.txt 1
(an oblique angle) Limb_darkening.txt 1
(strong function of) Limb_darkening.txt 1
(be only a) Limb_darkening.txt 1
(that point is) Limb_darkening.txt 1
(the optical depth) Limb_darkening.txt 5
